#         t          x          y          z         vx         vy         vz
      0.000   -377.690    611.450   -284.630     73.000    -73.000     50.000
      0.071   -372.500    606.250   -281.070     73.000    -74.000     50.000
      0.143   -367.150    600.900   -277.590     75.000    -77.000     51.000
      0.214   -361.740    595.420   -274.020     75.000    -79.000     53.000
      0.286   -356.460    589.870   -270.480     72.000    -81.000     52.000
      0.357   -351.270    584.160   -266.970     70.000    -81.000     49.000
      0.429   -346.230    578.310   -263.540     68.000    -82.000     47.000
      0.500   -341.310    572.330   -260.220     69.000    -83.000     43.000
      0.571   -336.500    566.240   -256.840     66.000    -85.000     46.000
      0.643   -331.980    560.210   -253.490     63.000    -84.000     44.000
      0.714   -327.770    554.330   -250.340     59.000    -81.000     42.000
      0.786   -323.810    548.560   -247.320     52.000    -81.000     43.000
      0.857   -320.190    542.980   -244.380     46.000    -76.000     42.000
      0.929   -316.810    537.670   -241.480     46.000    -71.000     40.000
      1.000   -313.560    532.560   -238.370     45.000    -69.000     43.000
      1.071   -310.400    527.670   -235.080     43.000    -67.000     48.000
      1.143   -307.160    523.020   -231.570     45.000    -64.000     50.000
      1.214   -303.860    518.510   -227.890     48.000    -63.000     54.000
      1.286   -300.420    514.050   -223.930     49.000    -62.000     57.000
      1.357   -296.790    509.690   -219.820     53.000    -61.000     59.000
      1.429   -292.990    505.280   -215.510     56.000    -62.000     62.000
      1.500   -288.910    500.830   -211.040     58.000    -62.000     62.000
      1.571   -284.680    496.350   -206.540     60.000    -63.000     64.000
      1.643   -280.200    491.770   -201.900     64.000    -64.000     64.000
      1.714   -275.500    487.020   -197.120     70.000    -69.000     66.000
      1.786   -270.550    482.130   -192.180     73.000    -69.000     67.000
      1.857   -265.400    477.220   -187.240     76.000    -70.000     70.000
      1.929   -260.030    472.200   -182.240     79.000    -74.000     72.000
      2.000   -254.500    467.040   -177.220     79.000    -74.000     71.000
      2.071   -248.760    461.690   -172.170     83.000    -77.000     72.000
      2.143   -242.760    456.060   -167.000     85.000    -80.000     72.000
      2.214   -236.570    450.220   -161.760     86.000    -82.000     73.000
      2.286   -230.330    444.250   -156.410     89.000    -84.000     73.000
      2.357   -223.970    438.150   -151.090     93.000    -87.000     71.000
      2.429   -217.600    431.750   -145.780     89.000    -92.000     73.000
      2.500   -211.230    425.120   -140.480     90.000    -94.000     73.000
      2.571   -204.720    418.270   -135.120     93.000    -96.000     74.000
      2.643   -198.150    411.270   -129.790     91.000    -98.000     75.000
      2.714   -191.490    404.240   -124.450     94.000    -99.000     73.000
      2.786   -184.680    397.010   -119.080     94.000   -101.000     75.000
      2.857   -177.780    389.620   -113.610     97.000   -105.000     77.000
      2.929   -170.790    381.980   -107.980     97.000   -106.000     78.000
      3.000   -163.790    374.090   -102.250     97.000   -112.000     80.000
      3.071   -156.710    365.910    -96.350     99.000   -112.000     82.000
      3.143   -149.410    357.510    -90.380    102.000   -118.000     83.000
      3.214   -142.030    348.780    -84.300    103.000   -122.000     85.000
      3.286   -134.520    339.690    -78.100    105.000   -130.000     88.000
      3.357   -126.840    330.150    -71.750    112.000   -135.000     87.000
      3.429   -118.780    320.120    -65.400    115.000   -145.000     89.000
      3.500   -110.530    309.440    -59.170    117.000   -159.000     88.000
      3.571   -102.080    297.850    -52.990    119.000   -171.000     91.000
      3.643    -93.410    285.340    -46.920    121.000   -182.000     87.000
      3.714    -84.460    271.700    -41.120    125.000   -201.000     80.000
      3.786    -75.360    256.470    -35.690    126.000   -228.000     73.000
      3.857    -66.400    239.120    -31.030    124.000   -261.000     53.000
      3.929    -58.400    219.140    -28.270     96.000   -299.000     13.000
      4.000    -53.510    197.840    -29.570     42.000   -285.000    -52.000
      4.071    -51.600    179.810    -35.170     17.000   -232.000    -67.000
