#         t          x          y          z         vx         vy         vz
      0.000     -2.080      2.950     -1.450      0.000      8.000     -2.000
      0.071     -1.820      3.160     -1.470     -0.000      7.000     -1.000
      0.143     -1.900      3.210     -1.550     -5.000     10.000     -1.000
      0.214     -2.160      3.410     -1.580     -3.000      8.000     -0.000
      0.286     -2.450      3.780     -1.610     -5.000      7.000      0.000
      0.357     -2.790      4.060     -1.530     -8.000      7.000      0.000
      0.429     -3.330      4.690     -1.620     -7.000     14.000     -2.000
      0.500     -3.570      5.570     -1.830     -3.000      9.000     -4.000
      0.571     -3.670      6.110     -2.040     -5.000      5.000     -2.000
      0.643     -3.950      6.550     -2.150     -7.000      5.000     -1.000
      0.714     -4.090      6.980     -2.210     -7.000      7.000     -2.000
      0.786     -4.460      7.460     -2.560     -8.000     11.000     -7.000
      0.857     -5.130      8.180     -3.190    -11.000      7.000     -9.000
      0.929     -5.920      9.070     -3.710    -13.000     11.000     -9.000
      1.000     -6.560     10.330     -4.310     -5.000     13.000     -8.000
      1.071     -6.940     11.050     -4.880     -5.000     11.000    -10.000
      1.143     -7.450     12.040     -5.610     -7.000     17.000    -12.000
      1.214     -7.680     13.410     -6.440     -6.000     14.000    -11.000
      1.286     -8.670     14.490     -7.170    -11.000     15.000    -10.000
      1.357     -9.400     15.850     -7.960    -10.000     20.000    -11.000
      1.429     -9.990     17.060     -8.840    -12.000     14.000    -14.000
      1.500    -10.780     18.250     -9.830    -12.000     21.000    -15.000
      1.571    -11.570     19.750    -10.860    -11.000     25.000    -16.000
      1.643    -12.410     21.480    -11.800    -13.000     26.000    -12.000
      1.714    -13.330     23.330    -12.740    -12.000     27.000    -13.000
      1.786    -14.150     25.190    -13.750    -14.000     25.000    -16.000
      1.857    -15.250     26.840    -14.850    -19.000     29.000    -15.000
      1.929    -16.690     29.210    -15.800    -22.000     31.000    -15.000
      2.000    -18.230     31.640    -16.880    -22.000     35.000    -16.000
      2.071    -19.840     34.290    -18.010    -21.000     41.000    -16.000
      2.143    -21.250     37.110    -19.200    -17.000     39.000    -17.000
      2.214    -22.640     40.030    -20.440    -19.000     40.000    -20.000
      2.286    -24.220     42.840    -21.840    -23.000     39.000    -20.000
      2.357    -25.930     45.900    -23.160    -22.000     43.000    -19.000
      2.429    -27.620     49.030    -24.490    -25.000     42.000    -20.000
      2.500    -29.420     52.260    -25.890    -25.000     51.000    -20.000
      2.571    -31.120     56.010    -27.360    -25.000     53.000    -21.000
      2.643    -33.120     59.790    -28.780    -26.000     55.000    -20.000
      2.714    -35.000     63.720    -30.280    -27.000     55.000    -21.000
