#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -29.000    174.000     93.000
      0.100   -101.078   -102.165   -117.988    -21.356    182.506    102.445
      0.200   -102.732    -83.475   -107.209    -11.720    191.284    113.138
      0.300   -103.288    -63.907    -95.287      0.590    200.090    125.296
      0.400   -102.433    -43.482    -82.067     16.521    208.406    139.111
      0.500    -99.740    -22.303    -67.380     37.336    215.178    154.611
      0.600    -94.648     -0.625    -51.084     64.492    218.381    171.327
      0.700    -86.479     21.020    -33.139     98.897    214.507    187.571
      0.800    -74.594     41.694    -13.783    138.802    198.971    199.544
      0.900    -58.792     60.124      6.300    177.227    169.640    202.123
      1.000    -39.703     75.210     26.043    204.566    132.075    192.737
      1.100    -18.584     86.581     44.501    217.801     95.339    176.411
      1.200      3.326     94.572     61.231    220.399     64.486    158.191
      1.300     25.187     99.806     76.185    216.838     40.204    140.881
      1.400     46.539    102.888     89.500    210.195     21.431    125.436
      1.500     67.159    104.303    101.370    202.205      6.872    111.952
      1.600     86.958    104.419    111.979    193.773     -4.548    100.225
      1.700    105.914    103.511    121.489    185.352    -13.627     89.990
      1.800    124.040    101.782    130.039    177.161    -20.939     80.998
      1.900    141.363     99.390    137.741    169.296    -26.900     73.037
      2.000    157.917     96.455    144.689    161.792    -31.811     65.934
      2.100    173.739     93.070    150.963    154.651    -35.892     59.549
      2.200    188.865     89.310    156.629    147.857    -39.309     53.770
      2.300    203.327     85.235    161.743    141.389    -42.188     48.506
      2.400    217.157     80.894    166.352    135.224    -44.623     43.684
      2.500    230.386     76.329    170.499    129.338    -46.691     39.242
      2.600    243.038     71.571    174.217    123.706    -48.451     35.132
      2.700    255.138     66.651    177.540    118.307    -49.949     31.311
      2.800    266.710     61.593    180.493    113.121    -51.223     27.746
      2.900    277.772     56.416    183.100    108.129    -52.305     24.405
      3.000    288.345     51.140    185.384    103.316    -53.219     21.265
      3.100    298.444     45.780    187.362     98.665    -53.988     18.305
      3.200    308.085     40.349    189.053     94.163    -54.627     15.506
      3.300    317.283     34.860    190.470     89.798    -55.152     12.851
      3.400    326.051     29.324    191.629     85.559    -55.575     10.328
      3.500    334.401     23.750    192.542     81.435    -55.906      7.924
      3.600    342.343     18.147    193.220     77.416    -56.155      5.629
      3.700    349.889     12.523    193.673     73.495    -56.329      3.434
      3.800    357.047      6.884    193.911     69.664    -56.434      1.329
      3.900    363.826      1.239    193.943     65.915    -56.476     -0.692
      4.000    370.234     -4.408    193.777     62.243    -56.460     -2.635
      4.100    376.278    -10.050    193.419     58.640    -56.391     -4.507
      4.200    381.965    -15.683    192.878     55.101    -56.270     -6.314
      4.300    387.301    -21.302    192.160     51.621    -56.103     -8.059
      4.400    392.292    -26.902    191.270     48.196    -55.891     -9.747
      4.500    396.942    -32.478    190.213     44.820    -55.637    -11.382
      4.600    401.258    -38.027    188.996     41.489    -55.343    -12.967
      4.700    405.242    -43.545    187.622     38.200    -55.010    -14.506
      4.800    408.900    -49.028    186.097     34.948    -54.641    -16.002
      4.900    412.234    -54.471    184.424     31.730    -54.235    -17.457
      5.000    415.247    -59.873    182.607     28.543    -53.795    -18.873
      5.100    417.944    -65.229    180.651     25.382    -53.320    -20.254
      5.200    420.325    -70.535    178.558     22.246    -52.812    -21.601
      5.300    422.394    -75.789    176.332     19.130    -52.271    -22.915
      5.400    424.152    -80.988    173.977     16.033    -51.698    -24.200
      5.500    425.601    -86.127    171.494     12.951    -51.091    -25.455
      5.600    426.743    -91.204    168.887      9.881    -50.453    -26.684
      5.700    427.578    -96.216    166.158      6.820    -49.781    -27.887
      5.800    428.107   -101.159    163.311      3.767    -49.077    -29.065
      5.900    428.331   -106.030    160.347      0.718    -48.339    -30.220
      6.000    428.251   -110.825    157.268     -2.329    -47.568    -31.352
      6.100    427.866   -115.542    154.077     -5.377    -46.762    -32.463
      6.200    427.175   -120.176    150.776     -8.429    -45.921    -33.554
      6.300    426.180   -124.724    147.367    -11.487    -45.043    -34.625
      6.400    424.878   -129.183    143.852    -14.553    -44.128    -35.677
      6.500    423.268   -133.548    140.233    -17.632    -43.175    -36.711
      6.600    421.350   -137.816    136.511    -20.724    -42.181    -37.727
      6.700    419.123   -141.982    132.688    -23.834    -41.146    -38.725
      6.800    416.583   -146.043    128.767    -26.964    -40.067    -39.707
      6.900    413.729   -149.993    124.748    -30.117    -38.943    -40.673
      7.000    410.558   -153.829    120.633    -33.296    -37.771    -41.622
      7.100    407.068   -157.545    116.424    -36.504    -36.549    -42.555
      7.200    403.256   -161.136    112.123    -39.746    -35.275    -43.472
      7.300    399.117   -164.597    107.731    -43.024    -33.944    -44.373
      7.400    394.649   -167.922    103.249    -46.342    -32.554    -45.258
      7.500    389.846   -171.105     98.680    -49.704    -31.101    -46.127
      7.600    384.706   -174.139     94.025    -53.114    -29.581    -46.979
      7.700    379.221   -177.017     89.285    -56.578    -27.989    -47.813
      7.800    373.387   -179.733     84.463    -60.099    -26.320    -48.629
      7.900    367.198   -182.277     79.560    -63.683    -24.568    -49.427
      8.000    360.647   -184.642     74.579    -67.334    -22.727    -50.204
      8.100    353.727   -186.818     69.520    -71.061    -20.789    -50.959
      8.200    346.431   -188.794     64.388    -74.867    -18.747    -51.692
      8.300    338.750   -190.561     59.183    -78.762    -16.591    -52.398
      8.400    330.674   -192.106     53.910    -82.752    -14.310    -53.077
      8.500    322.194   -193.417     48.569    -86.845    -11.893    -53.724
      8.600    313.299   -194.477     43.166    -91.050     -9.326    -54.336
      8.700    303.978   -195.273     37.704    -95.379     -6.593    -54.909
      8.800    294.217   -195.787     32.187    -99.840     -3.677    -55.436
      8.900    284.003   -195.999     26.620   -104.447     -0.555    -55.911
      9.000    273.320   -195.887     21.008   -109.213      2.796    -56.325
      9.100    262.151   -195.426     15.358   -114.151      6.405    -56.667
      9.200    250.480   -194.591      9.679   -119.279     10.306    -56.926
      9.300    238.285   -193.349      3.978   -124.613     14.540    -57.084
      9.400    225.546   -191.664     -1.732   -130.173     19.155    -57.118
      9.500    212.238   -189.496     -7.437   -135.979     24.210    -56.986
      9.600    198.337   -186.796    -13.120   -142.051     29.775    -56.669
      9.700    183.814   -183.511    -18.759   -148.412     35.938    -56.124
      9.800    168.639   -179.573    -24.330   -155.081     42.809    -55.293
      9.900    152.781   -174.907    -29.800   -162.077     50.525    -54.095
     10.000    136.207   -169.417    -35.126   -169.408     59.259    -52.426
